[ Date      , Closing Price      , Open      , Daily High      , Daily Low      
         5/7/2020        ,23.55,24.09,26.74,22.94
         5/6/2020        ,23.99,25.52,26.08,22.58
         5/5/2020        ,24.56,21.24,25.49,21.13
         5/4/2020        ,20.39,19.11,21.42,18.05
         5/1/2020        ,19.78,19.04,20.48,18.07
         4/30/2020        ,18.84,15.64,19.44,15.45
         4/29/2020        ,15.06,13.35,16.78,12.67
         4/28/2020        ,12.34,12.96,13.96,10.07
         4/27/2020        ,12.78,16.84,16.98,11.88
         4/24/2020        ,16.94,16.87,17.97,15.64
         4/23/2020        ,16.5,14.2,18.26,13.35
         4/22/2020        ,13.78,,16.18,10.26
         4/21/2020        ,10.01,-14,13.86,-16.74
         4/20/2020        ,-37.63,17.73,17.85,-40.32
         4/17/2020        ,18.27,20,20.22,17.31
         4/16/2020        ,19.87,20.15,20.53,19.42
         4/15/2020        ,19.87,20.72,20.89,19.2
         4/14/2020        ,20.11,22.36,23.08,19.95
         4/13/2020        ,22.41,24.6,24.74,22.03
         4/9/2020        ,22.76,26.28,28.36,22.57
         4/8/2020        ,25.09,24.3,26.45,23.74
         4/7/2020        ,23.63,26.34,27.24,23.54
         4/6/2020        ,26.08,26.09,28.24,25.28
         4/3/2020        ,28.34,24.81,29.13,23.52
         4/2/2020        ,25.32,21.22,27.39,20.76
         4/1/2020        ,20.31,20.1,21.55,19.9
         3/31/2020        ,20.48,20.23,21.89,20.01
         3/30/2020        ,20.09,20.93,20.93,19.27
         3/27/2020        ,21.51,23.29,23.44,20.88
         3/26/2020        ,22.6,24.25,24.65,22.38
         3/25/2020        ,24.49,24.37,25.24,22.91
         3/24/2020        ,24.01,23.87,25.16,23.09
         3/23/2020        ,23.36,22.52,24.07,20.8
         3/20/2020        ,22.43,24.73,27.89,19.46
         3/19/2020        ,25.22,22.3,27.71,21.36
         3/18/2020        ,20.37,26.94,27.22,20.06
         3/17/2020        ,26.95,28.69,30.3,26.63
         3/16/2020        ,28.7,33.75,33.75,28.1
         3/13/2020        ,31.73,30.77,33.87,30.33
         3/12/2020        ,31.5,33.07,33.63,30.02
         3/11/2020        ,32.98,34.62,36.35,32.56
         3/10/2020        ,34.36,30.37,35.02,30.2
         3/9/2020        ,31.13,32.87,34.88,27.34
         3/6/2020        ,41.28,46.09,46.38,41.05
         3/5/2020        ,45.9,47.13,47.57,45.65
         3/4/2020        ,46.78,46.94,48.41,46.65
         3/3/2020        ,47.18,47.72,48.66,46.47
         3/2/2020        ,46.75,43.7,47.56,43.32
         2/28/2020        ,44.76,46.49,47.03,43.85
         2/27/2020        ,47.09,48.63,48.78,45.88
         2/26/2020        ,48.73,50.08,50.44,48.3
         2/25/2020        ,49.9,51.37,52.02,49.69
         2/24/2020        ,51.43,52.6,52.64,50.45
         2/21/2020        ,53.38, , ,52.55
         2/20/2020        ,53.78,53.5,54.5,53.22
         2/19/2020        ,53.29,52.12,53.66,51.93
         2/18/2020        ,52.05, , ,50.88
         2/14/2020        ,52.05,51.51,52.34,51.32
         2/13/2020        ,51.42,51.72,51.96,50.6
         2/12/2020        ,51.17,49.96,51.73,49.95
         2/11/2020        ,49.94,49.61,50.69,49.58
         2/10/2020        ,49.57,50.12,50.49,49.42
         2/7/2020        ,50.32,51.11,51.48,50.09
         2/6/2020        ,50.95,51.17,52.2,50.24
         2/5/2020        ,50.75,49.51,51.88,49.47
         2/4/2020        ,49.61,49.94,51.55,49.31
         2/3/2020        ,50.11,51.01,51.97,49.8
         1/31/2020        ,51.56,52.92,53.36,50.97
         1/30/2020        ,52.14,53.09,53.2,51.66
         1/29/2020        ,53.33,53.97,54.37,52.81
         1/28/2020        ,53.48,52.77,54.06,52.68
         1/27/2020        ,53.14,53.7,53.71,52.13
         1/24/2020        ,54.19,55.69,55.95,53.85
